OBCINA,category,deals_count,avg_price_m2,median_price_m2
KOBARID,apartment,1.0,3223.1404958677685,3223.1404958677685
KOBILJE,apartment,1.0,669.683257918552,669.683257918552
KOMENDA,apartment,2.0,3669.58041958042,3669.58041958042
KOMENDA,house,1.0,1469.6876913655844,1469.6876913655844
KOPER,apartment,142.0,4540.785805168334,4417.656574165766
KOZJE,apartment,2.0,978.1480803271684,978.1480803271684
KOČEVJE,apartment,30.0,2091.285063108385,2091.9191919191917
KOČEVJE,house,1.0,1061.9469026548672,1061.9469026548672
KRANJ,apartment,188.0,3496.8892758022766,3490.2079578819476
KRANJ,house,2.0,1772.132370762314,1772.132370762314
KRANJSKA GORA,apartment,20.0,5105.599953827244,5112.396630042319
KRIŽEVCI,apartment,1.0,1335.9683794466405,1335.9683794466405
KRŠKO,apartment,27.0,1849.1920304938171,2004.4543429844098
KUNGOTA,apartment,2.0,2168.35678807947,2168.35678807947
LAŠKO,apartment,17.0,2151.5443398951343,2410.18387553041
LENART,apartment,18.0,2117.483638595069,2145.8813497531464
LENDAVA,apartment,23.0,1436.5096571187294,1398.4962406015036
LITIJA,apartment,44.0,3094.037187791577,3401.1922598743977
LITIJA,house,2.0,2060.348987854755,2060.348987854755
LJUBLJANA,apartment,1181.0,4815.538966659666,4878.048780487805
LJUBLJANA,house,11.0,3512.164109277562,3533.333333333333
LJUTOMER,apartment,12.0,1549.7713169132949,1795.7367572694588
LOG-DRAGOMER,apartment,3.0,2365.413714469916,2016.8067226890755
LOGATEC,apartment,22.0,3682.6524304206473,3634.871794871795
LOVRENC NA POHORJU,apartment,2.0,1138.8713887138872,1138.8713887138872
LOŠKA DOLINA,apartment,3.0,1120.6154554357117,1172.1774074074076
LUKOVICA,apartment,4.0,4168.105872239498,3978.9577743256605
MAJŠPERK,apartment,5.0,1636.6807719397452,1552.941176470588
MARIBOR,apartment,751.0,2477.4575987357116,2569.5931477516056
MARIBOR,house,1.0,179.1044776119403,179.1044776119403
MEDVODE,apartment,20.0,3716.3753543536345,3430.844248688115
MEDVODE,house,1.0,1938.144329896907,1938.144329896907
MENGEŠ,apartment,15.0,4396.4624235065085,4761.9047619047615
METLIKA,apartment,5.0,1412.5826073893304,1549.4978479196557
MEŽICA,apartment,19.0,1548.0711498499534,1789.8832684824904
MIKLAVŽ NA DRAVSKEM POLJU,apartment,2.0,1085.1389572880096,1085.1389572880096
MIREN-KOSTANJEVICA,apartment,5.0,1817.280284420701,1830.9859154929572
MIRNA,apartment,1.0,1503.7593984962407,1503.7593984962407
MIRNA PEČ,apartment,1.0,1361.7021276595744,1361.7021276595744
MISLINJA,apartment,13.0,2721.898115627384,2517.8571428571427
MOKRONOG-TREBELNO,apartment,3.0,1578.8133475861812,1780.918727915194
MORAVSKE TOPLICE,apartment,10.0,2840.591071688277,2676.2422360248447
MORAVČE,apartment,1.0,2352.9411764705883,2352.9411764705883
MOZIRJE,apartment,9.0,2936.8477640759634,2672.60579064588
MURSKA SOBOTA,apartment,56.0,1998.829903010972,2037.3361631341954
MUTA,apartment,7.0,1599.2192134157588,1688.5553470919324
NAZARJE,apartment,5.0,1561.037430614406,1365.8536585365853
NOVA GORICA,apartment,67.0,2676.305284983983,2797.4276527331185
